	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
102	Продавец-консультант (ТЦ Я)	https://hh.ru/vacancy/39920028?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
103	Продавец - консультант	https://hh.ru/vacancy/37779742?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	53000	RUB	https://hh.ru/
104	Продавец	https://hh.ru/vacancy/42921925?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	53000	63000	RUB	https://hh.ru/
105	Продавец - консультант (г. Улан-Удэ)	https://hh.ru/vacancy/37509812?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	32000	50000	RUB	https://hh.ru/
106	Продавец в салон МТС (г. Брянск)	https://hh.ru/vacancy/37688952?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	48000	RUB	https://hh.ru/
107	Продавец-консультант (Кызыл)	https://hh.ru/vacancy/37995120?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	53000	RUB	https://hh.ru/
108	Продавец-консультант в салон связи	https://hh.ru/vacancy/41179414?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
109	Продавец-консультант (Северный м-н)	https://hh.ru/vacancy/42505677?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	32000	32000	RUB	https://hh.ru/
110	Продавец-консультант	https://hh.ru/vacancy/42853540?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
111	Продавец в салон МТС (г. Курган)	https://hh.ru/vacancy/37665481?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	55000	RUB	https://hh.ru/
112	Продавец	https://hh.ru/vacancy/42677375?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	32000	42000	RUB	https://hh.ru/
113	Продавец-консультант в салон связи	https://hh.ru/vacancy/41030086?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	70000	RUB	https://hh.ru/
114	Продавец	https://hh.ru/vacancy/42888422?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	26400	36000	RUB	https://hh.ru/
115	Продавец	https://hh.ru/vacancy/42822153?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	70000	RUB	https://hh.ru/
116	Продавец-консультант	https://hh.ru/vacancy/42522139?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	9000	11000		https://hh.ru/
117	Продавец-консультант	https://hh.ru/vacancy/37606414?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	55000	RUB	https://hh.ru/
118	Продавец в салон связи (Архангельск)	https://hh.ru/vacancy/38101777?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	39000	61000	RUB	https://hh.ru/
119	Продавец	https://hh.ru/vacancy/41601171?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	43500	RUB	https://hh.ru/
120	Продавец-консультант	https://hh.ru/vacancy/37179420?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	41000	64000	RUB	https://hh.ru/
121	Продавец - консультант (г. Липецк)	https://hh.ru/vacancy/37778817?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		36000	RUB	https://hh.ru/
122	Продавец-консультант (ТЦ Макси)	https://hh.ru/vacancy/39108582?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
123	Продавец	https://hh.ru/vacancy/42942030?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	26000	36000	RUB	https://hh.ru/
124	Продавец-консультант (ТРЦ Фестиваль, м. Мичуринский проспект)	https://hh.ru/vacancy/37495222?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
