	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
1043	Продавец-кассир	https://hh.ru/vacancy/41498386?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1044	Продавец-консультант	https://hh.ru/vacancy/42745807?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	800	1000		https://hh.ru/
1045	Продавец-консультант непродовольственных товаров	https://hh.ru/vacancy/42317431?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	500	700		https://hh.ru/
1046	Продавец-консультант	https://hh.ru/vacancy/42677374?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	85000	RUB	https://hh.ru/
1047	Продавец-консультант (напольные покрытия).	https://hh.ru/vacancy/41897967?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	100000	RUB	https://hh.ru/
1048	Продавец-консультант швейных машин	https://hh.ru/vacancy/42759788?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	50000	RUB	https://hh.ru/
1049	Продавец-кассир	https://hh.ru/vacancy/42919457?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1050	Продавец-кассир ( Сходненская)	https://hh.ru/vacancy/40489337?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1051	Продавец	https://hh.ru/vacancy/42993714?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1052	Продавец-консультант (продавец-кавист)	https://hh.ru/vacancy/42923104?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1053	Продавец-консультант	https://hh.ru/vacancy/42899557?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1054	Продавец-консультант (1 Мая)	https://hh.ru/vacancy/42895664?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1055	Продавец-консультант/продавец-кассир (ТРЦ Макси)	https://hh.ru/vacancy/42344677?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		22100	RUB	https://hh.ru/
1056	Продавец-кассир	https://hh.ru/vacancy/41048361?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		19100	RUB	https://hh.ru/
1057	Продавец-кассир	https://hh.ru/vacancy/42958543?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	50000	RUB	https://hh.ru/
1058	Продавец-консультант	https://hh.ru/vacancy/42967785?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	55000	RUB	https://hh.ru/
1059	Продавец непродовольственных товаров	https://hh.ru/vacancy/42950875?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	14000	16000	RUB	https://hh.ru/
1060	Продавец	https://hh.ru/vacancy/42658832?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		720		https://hh.ru/
1061	Продавец-кассир	https://hh.ru/vacancy/42954691?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		28500	RUB	https://hh.ru/
1062	Продавец - кассир (ТЦ Дружба)	https://hh.ru/vacancy/42638705?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		34300	RUB	https://hh.ru/
1063	Продавец-консультант	https://hh.ru/vacancy/42453778?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1064	Продавец-консультант Benetton	https://hh.ru/vacancy/43009867?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1065	Продавец-консультант	https://hh.ru/vacancy/42780285?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1066	Продавец-кассир	https://hh.ru/vacancy/42785639?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	21000	RUB	https://hh.ru/
1067	Продавец-кассир	https://hh.ru/vacancy/42973436?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	20000	RUB	https://hh.ru/
1068	Продавец-кассир	https://hh.ru/vacancy/42400958?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1069	Продавец-консультант	https://hh.ru/vacancy/43002734?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	70000	RUB	https://hh.ru/
1070	Продавец-кассир (г. Лакинск, пр-т Ленина, д.21-А)	https://hh.ru/vacancy/42973550?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1071	Продавец-консультант	https://hh.ru/vacancy/42704953?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	85000	200000		https://hh.ru/
1072	Продавец-кассир / Продавец-консультант	https://hh.ru/vacancy/42532821?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	47000	56000	RUB	https://hh.ru/
1073	Продавец-универсал	https://hh.ru/vacancy/37788636?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1074	Продавец в магазин разливных напитков	https://hh.ru/vacancy/42855138?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	42000	RUB	https://hh.ru/
1075	Кассир-продавец (г. Солнечногорск)	https://hh.ru/vacancy/42945053?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	28000	32000	RUB	https://hh.ru/
1076	Продавец-консультант (г. Видное)	https://hh.ru/vacancy/41740693?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1077	Продавец-кассир (г. Псков)	https://hh.ru/vacancy/42878968?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	22000	30000	RUB	https://hh.ru/
1078	Продавец-консультант/Продавец-кассир	https://hh.ru/vacancy/37431767?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18500	RUB	https://hh.ru/
1079	Продавец-консультант	https://hh.ru/vacancy/42336729?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		38000	RUB	https://hh.ru/
1080	Продавец-кассир	https://hh.ru/vacancy/42539692?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	32000	45000	RUB	https://hh.ru/
1081	Продавец-консультант	https://hh.ru/vacancy/42836534?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	70000	RUB	https://hh.ru/
1082	Продавец фирменной торговой точки в г. Северске	https://hh.ru/vacancy/42791073?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		26000	RUB	https://hh.ru/
1083	Продавец-кассир	https://hh.ru/vacancy/42858272?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1084	Продавец	https://hh.ru/vacancy/42987348?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1085	Продавец-консультант ( ТЦ Акварель, г. Щербинка )	https://hh.ru/vacancy/42288756?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1086	Старший продавец-кассир	https://hh.ru/vacancy/42913049?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1087	Продавец-консультант	https://hh.ru/vacancy/42402558?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		28000	RUB	https://hh.ru/
1088	Продавец-консультант	https://hh.ru/vacancy/42716725?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		45000	RUB	https://hh.ru/
1089	Продавец-консультант	https://hh.ru/vacancy/42675272?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	50000	RUB	https://hh.ru/
1090	Продавец	https://hh.ru/vacancy/42663057?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		32000	RUB	https://hh.ru/
1091	Продавец (г. Борисов)	https://hh.ru/vacancy/42907266?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		550		https://hh.ru/
1092	Продавец-кассир (Корсаков)	https://hh.ru/vacancy/41043005?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		32760	RUB	https://hh.ru/
1093	Продавец-консультант	https://hh.ru/vacancy/42656779?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	60000	RUB	https://hh.ru/
1094	Продавец-консультант (г.Щербинка)	https://hh.ru/vacancy/41202070?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	65500	RUB	https://hh.ru/
1095	Продавец	https://hh.ru/vacancy/42922141?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	16500	23000	RUB	https://hh.ru/
1096	Продавец-консультант	https://hh.ru/vacancy/42904511?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1097	"Утренний продавец-кассир SELA (ст. м. Ленинский пр., Универмаг ""Нарвский"")"	https://hh.ru/vacancy/42960988?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1098	Продавец-консультант в магазин корейской косметики	https://hh.ru/vacancy/42960333?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1099	Продавец-кассир	https://hh.ru/vacancy/42964533?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30600	RUB	https://hh.ru/
1100	Продавец-консультант (м.Проспект Мира)	https://hh.ru/vacancy/41022598?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	80000	RUB	https://hh.ru/
1101	Продавец-кассир	https://hh.ru/vacancy/42328478?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	37000	45000	RUB	https://hh.ru/
1102	"Продавец-консультант (ТРЦ ""Dana Mall"")"	https://hh.ru/vacancy/42559747?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	470	700		https://hh.ru/
1103	Продавец на выкладку товара	https://hh.ru/vacancy/42909323?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	22000	RUB	https://hh.ru/
1104	Продавец-кассир, Белоозерский	https://hh.ru/vacancy/42917375?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1105	Продавец	https://hh.ru/vacancy/42924686?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1106	Продавец-консультант	https://hh.ru/vacancy/42592656?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	37000	45000	RUB	https://hh.ru/
1107	Продавец - кассир	https://hh.ru/vacancy/42382030?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		65000	RUB	https://hh.ru/
1108	Продавец	https://hh.ru/vacancy/38918187?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		20700	RUB	https://hh.ru/
1109	Продавец	https://hh.ru/vacancy/42935225?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1110	Продавец (Мила/Брест)	https://hh.ru/vacancy/42954141?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	500	600		https://hh.ru/
1111	Продавец-кассир (Выборная 89)	https://hh.ru/vacancy/42527313?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1112	Продавец	https://hh.ru/vacancy/42958338?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1113	Кассир-продавец	https://hh.ru/vacancy/42842012?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1114	Продавец-консультант, г.Мелеуз	https://hh.ru/vacancy/42928234?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18000	RUB	https://hh.ru/
1115	Продавец-консультант	https://hh.ru/vacancy/42896710?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1116	Продавец-консультант	https://hh.ru/vacancy/42714444?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1117	Дизайнер-продавец (продавец-консультант) / Продавец мебели	https://hh.ru/vacancy/42655707?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	70000	RUB	https://hh.ru/
1118	Продавец-кассир	https://hh.ru/vacancy/40487206?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1119	Продавец-мерчендайзер	https://hh.ru/vacancy/42830122?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		100000		https://hh.ru/
1120	Продавец - кассир магазина befree (ТЦ Центральный)	https://hh.ru/vacancy/42763030?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1121	Продавец-консультант	https://hh.ru/vacancy/41939768?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	130000	RUB	https://hh.ru/
1122	Продавец-консультант	https://hh.ru/vacancy/42356983?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
1123	Продавец	https://hh.ru/vacancy/42873604?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	30000	RUB	https://hh.ru/
1124	Продавец-кассир	https://hh.ru/vacancy/42789570?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1125	Продавец	https://hh.ru/vacancy/42986704?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1126	Продавец-эксперт ( ТЦ Универмаг )	https://hh.ru/vacancy/42927191?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1127	Продавец-кассир на свободный график	https://hh.ru/vacancy/42141340?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1128	Продавец-универсал	https://hh.ru/vacancy/42732219?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1129	Продавец-универсал	https://hh.ru/vacancy/42732252?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1130	Продавец-кассир	https://hh.ru/vacancy/41811536?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1131	Продавец-консультант	https://hh.ru/vacancy/42982894?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	80000	RUB	https://hh.ru/
1132	Продавец-консультант	https://hh.ru/vacancy/42400014?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1133	Продавец	https://hh.ru/vacancy/41479851?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25700	28000	RUB	https://hh.ru/
1134	Продавец-кассир	https://hh.ru/vacancy/42412040?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	55000	65000	RUB	https://hh.ru/
1135	Продавец-кассир	https://hh.ru/vacancy/42346292?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	38000	50000	RUB	https://hh.ru/
1136	Продавец-кассир	https://hh.ru/vacancy/36007047?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		29000	RUB	https://hh.ru/
1137	Продавец-кассир (м. пл. Мужества)	https://hh.ru/vacancy/42800835?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		28500	RUB	https://hh.ru/
1138	Продавец (Самара)	https://hh.ru/vacancy/41510267?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		31000	RUB	https://hh.ru/
1139	Продавец-консультант	https://hh.ru/vacancy/42976698?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	15000	20000	RUB	https://hh.ru/
1140	Продавец	https://hh.ru/vacancy/42623699?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	23000	RUB	https://hh.ru/
1141	Продавец-консультант магазина Levi's в ТЦ Премьер	https://hh.ru/vacancy/42739215?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1142	Продавец-кассир	https://hh.ru/vacancy/42875490?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1143	"Продавец ""Магнум"" (Жарокова Дунаевского)"	https://hh.ru/vacancy/42091813?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1144	Продавец-консультант	https://hh.ru/vacancy/41800709?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	600	900		https://hh.ru/
1145	Продавец-кассир SELA (различные ТЦ)	https://hh.ru/vacancy/38766658?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1146	Продавец-кассир (г. Ижевск)	https://hh.ru/vacancy/39244375?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		32000	RUB	https://hh.ru/
1147	Продавец-консультант	https://hh.ru/vacancy/42527274?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	80000	RUB	https://hh.ru/
1148	Продавец-кассир	https://hh.ru/vacancy/42890141?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1149	Продавец-эксперт (ТЦ Пассаж)	https://hh.ru/vacancy/42970110?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1150	Продавец-кассир	https://hh.ru/vacancy/42566826?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		21000	RUB	https://hh.ru/
1151	Продавец	https://hh.ru/vacancy/42869558?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
1152	Продавец	https://hh.ru/vacancy/42957211?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	35000	RUB	https://hh.ru/
1153	Продавец-консультант в магазин товаров для праздника	https://hh.ru/vacancy/42600920?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	31000	50000	RUB	https://hh.ru/
1154	Продавец-универсал	https://hh.ru/vacancy/40189843?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1155	Продавец в интим магазин	https://hh.ru/vacancy/42859288?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
1156	Продавец-консультант магазина Строительный крепеж	https://hh.ru/vacancy/42912793?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
1157	Продавец на выкладку	https://hh.ru/vacancy/42261600?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
1158	Продавец-консультант	https://hh.ru/vacancy/41864753?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	28000	40000	RUB	https://hh.ru/
1159	Продавец-консультант	https://hh.ru/vacancy/42647578?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		45000	RUB	https://hh.ru/
1160	Продавец-универсал (г. Обнинск)	https://hh.ru/vacancy/42964870?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		45000	RUB	https://hh.ru/
1161	Продавец-консультант	https://hh.ru/vacancy/42699568?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	80000	RUB	https://hh.ru/
1162	Старший продавец	https://hh.ru/vacancy/42329221?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	55700	69500	RUB	https://hh.ru/
1163	Продавец	https://hh.ru/vacancy/32752948?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1164	Продавец	https://hh.ru/vacancy/42539874?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
1165	Продавец-консультант	https://hh.ru/vacancy/42367843?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	28000	RUB	https://hh.ru/
1166	Продавец-универсал	https://hh.ru/vacancy/39673499?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	55000	RUB	https://hh.ru/
1167	Продавец-кассир	https://hh.ru/vacancy/42908084?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		24000	RUB	https://hh.ru/
1168	Продавец-консультант	https://hh.ru/vacancy/42831961?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1169	Продавец-консультант/Старший продавец-консультант	https://hh.ru/vacancy/43003623?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1170	Продавец в торговый павильон (пгт. Введенка, пгт. Новопокровка)	https://hh.ru/vacancy/42564125?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1171	Продавец-консультант в магазин COLIN`S	https://hh.ru/vacancy/42834159?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		280		https://hh.ru/
1172	Продавец-кассир (м. Площадь Восстания )	https://hh.ru/vacancy/42074247?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		22000	RUB	https://hh.ru/
1173	Продавец-консультант	https://hh.ru/vacancy/42537348?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		55000	RUB	https://hh.ru/
1174	Продавец-консультант	https://hh.ru/vacancy/42891661?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1175	Продавец в магазин разливных напитков (гор. Тобольск)	https://hh.ru/vacancy/42937077?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1176	Продавец-кассир	https://hh.ru/vacancy/37723071?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		60000	RUB	https://hh.ru/
1177	Продавец-кассир	https://hh.ru/vacancy/43002586?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	28000	RUB	https://hh.ru/
1178	Продавец	https://hh.ru/vacancy/42772151?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1179	Продавец-консультант (г.Киров)	https://hh.ru/vacancy/42073183?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		28000	RUB	https://hh.ru/
1180	Продавец-консультант	https://hh.ru/vacancy/42430262?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
1181	Продавец-консультант (г.Воронеж)	https://hh.ru/vacancy/41828080?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33900	50000	RUB	https://hh.ru/
1182	Продавец-кассир	https://hh.ru/vacancy/42655542?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1183	"Продавец-кассир (ТРЦ ""Экспобел"")"	https://hh.ru/vacancy/42586936?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	850	940		https://hh.ru/
1184	"Продавец-кассир 10 ч/нед ТК ""Июнь"""	https://hh.ru/vacancy/42192358?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	7450	8625	RUB	https://hh.ru/
